,Summary,Season,Wedding_destination,Guest,Location,Describing_words,Priority_1,Priority_2,Priority_3,Estimate,Attire_Accessories,Beauty_spa,Entertainment,Flowers_Decorations,Gifts,invitations,Photography,Planner,venue_Catering_rental
11,"How much does a summer wedding in Hattiesburg MS with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Fun, Vintage, Intimate. The wedding color theme is Oranges. The estimated cost for this wedding is $16,995.","
            
                Summer Wedding
                
                
            
        ","
        
            Hattiesburg MS
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $227 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Oranges
            
        ",,,,"
$16,995 is the Estimated Wedding Cost
","$1,407",$254,$149,$230,"$3,806","$4,004","$1,617",$361,$392
12,"How much does a fall wedding in Nashville  with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at a garden or park. The type of wedding is Formal, Fun, Traditional. The wedding color theme is Blues. The estimated cost for this wedding is $39,558.","
            
                Fall Wedding
                
                
            
        ","
        
            Nashville 
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $226 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Formal, Fun, Traditional 
            
        ","Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service",Flowers & Decorations,"
$39,558 is the Estimated Wedding Cost
","$3,483",$636,$183,$251,"$3,826","$10,279","$2,323","$3,076","$1,136"
13,"How much does a summer wedding in Atlanta GA with 150 to 200 guests cost? The wedding is at a ranch. The type of wedding is Garden, Unique, Intimate. The wedding color theme is Greens. The estimated cost for this wedding is $37,485.","
            
                Summer Wedding
                
                
            
        ","
        
            Atlanta GA
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $214 to the total amount spent.
                    
                    
                
        

        ","
                
                a ranch
            ","
    	    
            
            
                Greens
            
        ",,,,"
$37,485 is the Estimated Wedding Cost
","$2,216",$608,$244,"$4,002","$8,699","$9,550","$2,725","$1,090",$918
14,"How much does a fall wedding in Milwaukee WI with 50 to 100 guests cost? The wedding is at a country club or golf course. The type of wedding is Elegant, Formal, Romantic. The wedding color theme is Reds. The estimated cost for this wedding is $27,141.","
            
                Fall Wedding
                
                
            
        ","
        
            Milwaukee WI
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $362 to the total amount spent.
                    
                    
                
        

        ","
                
                a country club or golf course
            ","
    	    
            
            
                Reds
            
        ",,,,"
$27,141 is the Estimated Wedding Cost
",$811,$244,$217,$273,"$4,972","$2,685",$863,"$1,208",$207
15,"How much does a spring wedding in Pensacola FL with 200 to 300 guests cost? The ceremony is at the beach and reception is at a country club or golf course. The type of wedding is Beach, Destination. The wedding color theme is Blues. The estimated cost for this wedding is $71,495.","
            
                Spring Wedding
                
                
            
        ","
        
            Pensacola FL
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $286 to the total amount spent.
                    
                    
                
        

        ","
                
                the beach
            ","
    	    
            
            
                Beach, Destination 
            
        ","Attire & Accessories (Wedding Dress, Suit, etc.)","Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service","
$71,495 is the Estimated Wedding Cost
","$3,898","$1,203",$268,$267,"$2,136","$19,565","$4,538","$4,792","$1,876"
16,"How much does a wedding in Atlanta GA with 200 to 300 guests cost? The wedding is at a resort or hotel. The type of wedding is Experience. The wedding color theme is Other. The estimated cost for this wedding is $51,910.","
            
                None specified
                
            
        ","
        
            Atlanta GA
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $208 to the total amount spent.
                    
                    
                
        

        ","
                
                a resort or hotel
            ","
    	    
            
            
                Other
            
        ",,,,"
$51,910 is the Estimated Wedding Cost
","$2,349",$963,$159,$266,"$1,215","$15,660","$3,492","$3,733","$1,254"
17,"How much does a wedding in New Orleans LA with 25 to 50 guests cost? The ceremony is at a garden or park and reception is at a restaurant. The type of wedding is Elegant, Garden, Experience. The wedding color theme is Gold. The estimated cost for this wedding is $19,402.","
            
                None specified
                
            
        ","
        
            New Orleans LA
            
            
        
    ","
        
        
            
                    This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $511 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Elegant, Garden, Experience 
            
        ",Bakery (Wedding Cake/dessert),"Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service","
$19,402 is the Estimated Wedding Cost
","$2,009",$141,$157,$258,"$6,039","$1,259",$417,"$1,575",$161
18,"How much does a fall wedding in Charlotte NC with 150 to 200 guests cost? The wedding is at an event facility. The type of wedding is Fun, Unique, Modern. The wedding color theme is Greens. The estimated cost for this wedding is $35,485.","
            
                Fall Wedding
                
                
            
        ","
        
            Charlotte NC
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $203 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Greens
            
        ",,,,"
$35,485 is the Estimated Wedding Cost
","$2,929",$636,$178,"$1,093","$10,330","$6,977","$2,538",$560,$657
19,"How much does a fall wedding in Charlotte NC with 200 to 300 guests cost? The type of wedding is Unique, Vintage, Farm/Barn. The wedding color theme is Greens. The estimated cost for this wedding is $36,028.","
            
                Fall Wedding
                
                
            
        ","
        
            Charlotte NC
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $144 to the total amount spent.
                    
                    
                
        

        ","
                
                None specified
            ","
    	    
            
            
                Greens
            
        ",,,,"
$36,028 is the Estimated Wedding Cost
","$2,770",$964,$156,$261,"$10,347","$8,204","$3,519","$1,209",$773
20,"How much does a winter wedding in Oklahoma City OK with more than 300 guests cost? The wedding is at an event facility. The type of wedding is Elegant, Formal, Traditional. The wedding color theme is Other. The estimated cost for this wedding is $57,896.","
            
                Winter Wedding
                
                
            
        ","
        
            Oklahoma City OK
            
            
        
    ","
        
        
            
                    This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $145 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Other
            
        ",,,,"
$57,896 is the Estimated Wedding Cost
",$204,"$2,004",$234,$977,"$19,532","$11,866","$5,513","$3,308","$4,390"
21,"How much does a summer wedding in Louisville KY with 100 to 150 guests cost? The wedding is at a winery. The type of wedding is Elegant, Modern, Experience. The wedding color theme is Black. The estimated cost for this wedding is $23,001.","
            
                Summer Wedding
                
                
            
        ","
        
            Louisville KY
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $184 to the total amount spent.
                    
                    
                
        

        ","
                
                a winery
            ","
    	    
            
            
                Black
            
        ",,,,"
$23,001 is the Estimated Wedding Cost
","$1,515",$450,$158,$256,"$4,755","$7,927","$2,569",$671,$621
22,"How much does a spring wedding in Fairfax VA with 100 to 150 guests cost? The wedding is at a banquet hall. The type of wedding is Elegant, Romantic, Traditional. The wedding color theme is White. The estimated cost for this wedding is $48,949.","
            
                Spring Wedding
                
                
            
        ","
        
            Fairfax VA
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $392 to the total amount spent.
                    
                    
                
        

        ","
                
                a banquet hall
            ","
    	    
            
            
                White
            
        ",,,,"
$48,949 is the Estimated Wedding Cost
","$3,908",$427,$214,$325,"$4,316","$7,175","$1,414","$3,728",$639
23,"How much does a wedding in Arlington VA with 150 to 200 guests cost? The type of wedding is Elegant, Fun, Modern. The wedding color theme is Black. The estimated cost for this wedding is $54,198.","
            
                None specified
                
            
        ","
        
            Arlington VA
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $310 to the total amount spent.
                    
                    
                
        

        ","
    	    
            
            
                Black
            
        ",,,,,"
$54,198 is the Estimated Wedding Cost
","$2,865",$572,$326,$325,"$1,264","$7,755","$1,984","$3,316",$809
24,"How much does a spring wedding in Tarrytown NY with 100 to 150 guests cost? The wedding is at a resort or hotel. The type of wedding is Garden, Modern, Experience. The wedding color theme is Pinks. The estimated cost for this wedding is $38,245.","
            
                Spring Wedding
                
                
            
        ","
        
            Tarrytown NY
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $306 to the total amount spent.
                    
                    
                
        

        ","
                
                a resort or hotel
            ","
    	    
            
            
                Pinks
            
        ",,,,"
$38,245 is the Estimated Wedding Cost
","$4,101",$452,$238,$334,"$1,345","$5,101","$1,581","$1,897",$379
25,"How much does a spring wedding in Newport, RI with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Elegant, Formal, Traditional. The wedding color theme is Pinks. The estimated cost for this wedding is $28,807.","
            
                Spring Wedding
                
                
            
        ","
        
            Newport, RI
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $230 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Pinks
            
        ",,,,"
$28,807 is the Estimated Wedding Cost
","$2,665",$491,$249,$317,"$1,300","$8,128","$2,154",$606,$179
26,"How much does a wedding in Erie PA with 50 to 100 guests cost? The wedding is at a private residence.  The estimated cost for this wedding is $19,442.","
            
                None specified
                
            
        ","
        
            Erie PA
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $259 to the total amount spent.
                    
                    
                
        

        ","
                
                a private residence
            ","
    	    
            
            
                None specified
            
        ",,,,"
$19,442 is the Estimated Wedding Cost
","$2,142",$266,$164,$282,"$4,434","$2,693",$923,"$2,066",$221
27,"How much does a fall wedding in Las Vegas NV with 25 to 50 guests cost? The wedding is at a resort or hotel. The type of wedding is Casual, DIY, Simple. The wedding color theme is Purples. The estimated cost for this wedding is $12,951.","
            
                Fall Wedding
                
                
            
        ","
        
            Las Vegas NV
            
            
        
    ","
        
        
            
                    This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $341 to the total amount spent.
                    
                    
                
        

        ","
                
                a resort or hotel
            ","
    	    
            
            
                Purples
            
        ",,,,"
$12,951 is the Estimated Wedding Cost
","$2,055",$63,$278,"$2,082","$3,940",$532,$174,$141,"$2,207"
28,"How much does a spring wedding in Paris TX with 50 to 100 guests cost? The wedding is at a family or friends home. The type of wedding is Simple, Vintage, Farm/Barn. The wedding color theme is White. The estimated cost for this wedding is $9,220.","
            
                Spring Wedding
                
                
            
        ","
        
            Paris TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $123 to the total amount spent.
                    
                    
                
        

        ","
                
                a family or friends home
            ","
    	    
            
            
                White
            
        ",,,,"
$9,220 is the Estimated Wedding Cost
","$1,060",$241,$329,"$2,502",$970,"$1,711",$378,"$1,797",
29,"How much does a summer wedding in naperville with 100 to 150 guests cost? The type of wedding is Fun, Rustic, Farm/Barn. The wedding color theme is Greens. The estimated cost for this wedding is $23,903.","
            
                Summer Wedding
                
                
            
        ","
        
            naperville
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $191 to the total amount spent.
                    
                    
                
        

        ","
    	    
            
            
                Greens
            
        ",,,,,"
$23,903 is the Estimated Wedding Cost
","$1,871",$363,$163,$271,"$1,247","$6,248","$1,302","$1,182",$471
30,"How much does a winter wedding in Gulfport, ms with 100 to 150 guests cost? The ceremony is at a church or other place of worship and reception is at a resort or hotel. The type of wedding is Destination, Elegant, Intimate. The wedding color theme is Greens. The estimated cost for this wedding is $29,404.","
            
                Winter Wedding
                
                
            
        ","
        
            Gulfport, ms
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $235 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Destination, Elegant, Intimate 
            
        ",Bakery (Wedding Cake/dessert),"Event Food Service, Catering, Bar Service",Flowers & Decorations,"
$29,404 is the Estimated Wedding Cost
","$2,117",$533,$151,$241,"$7,871","$6,350","$2,688",$663,$627
31,"How much does a summer wedding in Youngstown OH with 100 to 150 guests cost? The wedding is at a banquet hall. The type of wedding is Formal, Romantic, Unique. The wedding color theme is Ivory. The estimated cost for this wedding is $29,888.","
            
                Summer Wedding
                
                
            
        ","
        
            Youngstown OH
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $239 to the total amount spent.
                    
                    
                
        

        ","
                
                a banquet hall
            ","
    	    
            
            
                Ivory
            
        ",,,,"
$29,888 is the Estimated Wedding Cost
","$1,463",$558,$259,$275,"$3,669","$8,343","$2,318",$467,"$1,475"
32,"How much does a winter wedding in Gulfport MS with more than 300 guests cost? The ceremony is at a church or other place of worship and reception is at a family or friend's home. The type of wedding is Elegant, Fun, Garden. The wedding color theme is Greens. The estimated cost for this wedding is $68,636.","
            
                Winter Wedding
                
                
            
        ","
        
            Gulfport MS
            
            
        
    ","
        
        
            
                    This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $172 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Elegant, Fun, Garden 
            
        ","Attire & Accessories (Wedding Dress, Suit, etc.)","Event Food Service, Catering, Bar Service",,"
$68,636 is the Estimated Wedding Cost
","$1,855","$1,905",$221,$241,"$2,828","$30,925","$6,080","$2,625","$3,185"
33,"How much does a winter wedding in Greensboro NC with 200 to 300 guests cost? The wedding is at a historical building. The type of wedding is Elegant, Unique, Experience. The wedding color theme is White. The estimated cost for this wedding is $59,614.","
            
                Winter Wedding
                
                
            
        ","
        
            Greensboro NC
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $238 to the total amount spent.
                    
                    
                
        

        ","
                
                a historical building
            ","
    	    
            
            
                White
            
        ",,,,"
$59,614 is the Estimated Wedding Cost
","$2,642","$1,269",$229,$251,"$1,554","$17,730","$4,217","$4,425","$1,113"
34,"How much does a spring wedding in Winthrop WA with 50 to 100 guests cost? The wedding is at a lakefront. The type of wedding is Casual, Rustic, Traditional. The wedding color theme is Ivory. The estimated cost for this wedding is $20,857.","
            
                Spring Wedding
                
                
            
        ","
        
            Winthrop WA
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $278 to the total amount spent.
                    
                    
                
        

        ","
                
                a lakefront
            ","
    	    
            
            
                Ivory
            
        ",,,,"
$20,857 is the Estimated Wedding Cost
","$1,819",$280,$103,"$1,003","$4,295","$5,869",$534,$422,$421
35,"How much does a spring wedding in Columbus OH with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Elegant, Simple, Intimate. The wedding color theme is Greens. The estimated cost for this wedding is $33,619.","
            
                Spring Wedding
                
                
            
        ","
        
            Columbus OH
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $192 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Elegant, Simple, Intimate 
            
        ",Event Location/Venue,Event Rentals,Photography & Video,"
$33,619 is the Estimated Wedding Cost
","$1,306",$586,$97,$985,"$8,411","$9,659","$2,968",$941,$957
36,"How much does a spring wedding in Snohomish WA with 50 to 100 guests cost? The wedding is at a church or other place of worship. The type of wedding is DIY, Rustic, Traditional. The wedding color theme is Pinks. The estimated cost for this wedding is $25,183.","
            
                Spring Wedding
                
                
            
        ","
        
            Snohomish WA
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $336 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Pinks
            
        ",,,,"
$25,183 is the Estimated Wedding Cost
","$2,275",$237,$116,$320,"$1,427","$3,977",$799,"$2,070",$307
37,"How much does a winter wedding in Los Angeles CA with 100 to 150 guests cost? The type of wedding is Elegant, Fun, Theme. The wedding color theme is Blues. The estimated cost for this wedding is $45,424.","
            
                Winter Wedding
                
                
            
        ","
        
            Los Angeles CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $363 to the total amount spent.
                    
                    
                
        

        ","
    	    
            
            
                Blues
            
        ",,,,,"
$45,424 is the Estimated Wedding Cost
","$3,185",$477,$320,$330,"$7,428","$8,018","$1,699","$2,779",$601
38,"How much does a spring wedding in San Diego CA with 50 to 100 guests cost? The wedding is at a winery. The type of wedding is Casual, Garden, Romantic. The wedding color theme is Ivory. The estimated cost for this wedding is $32,291.","
            
                Spring Wedding
                
                
            
        ","
        
            San Diego CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $431 to the total amount spent.
                    
                    
                
        

        ","
                
                a winery
            ","
    	    
            
            
                Ivory
            
        ",,,,"
$32,291 is the Estimated Wedding Cost
","$3,418",$300,$223,$330,"$1,985","$4,840","$1,028","$2,399",$246
39,"How much does a summer wedding in Tappan NY with 200 to 300 guests cost? The ceremony is at a church or other place of worship and reception is at a banquet hall. The type of wedding is Fun, Romantic, Other. The wedding color theme is Purples. The estimated cost for this wedding is $61,610.","
            
                Summer Wedding
                
                
            
        ","
        
            Tappan NY
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $246 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Fun, Romantic, Other 
            
        ","Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service",Event Location/Venue,"
$61,610 is the Estimated Wedding Cost
","$3,979",$321,$334,"$1,845","$17,802","$17,863",$902,"$1,425","$3,671"
40,"How much does a summer wedding in Cincinnati OH with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Fun, Simple, Modern. The wedding color theme is Greens. The estimated cost for this wedding is $14,729.","
            
                Summer Wedding
                
                
            
        ","
        
            Cincinnati OH
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $196 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Greens
            
        ",,,,"
$14,729 is the Estimated Wedding Cost
",$974,$225,$147,$886,"$2,432","$4,117","$1,987",$336,$316
41,"How much does a spring wedding in Hickory with 50 to 100 guests cost? The wedding is at a garden or park. The type of wedding is Romantic, Simple. The wedding color theme is Pinks. The estimated cost for this wedding is $13,353.","
            
                Spring Wedding
                
                
            
        ","
        
            Hickory
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $178 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Pinks
            
        ",,,,"
$13,353 is the Estimated Wedding Cost
","$1,652",$278,$153,$685,"$2,523","$3,397","$1,655",$216,"$1,892"
42,"How much does a winter wedding in Dallas TX with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Romantic, Modern. The wedding color theme is White. The estimated cost for this wedding is $32,432.","
            
                Winter Wedding
                
                
            
        ","
        
            Dallas TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $259 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                White
            
        ",,,,"
$32,432 is the Estimated Wedding Cost
","$1,493",$426,$256,$272,"$5,679","$3,668","$1,422","$3,122",$640
43,"How much does a spring wedding in Los Angeles CA with 150 to 200 guests cost? The type of wedding is Elegant, Romantic, Intimate. The wedding color theme is White. The estimated cost for this wedding is $41,503.","
            
                Spring Wedding
                
                
            
        ","
        
            Los Angeles CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $237 to the total amount spent.
                    
                    
                
        

        ","
    	    
            
            
                White
            
        ",,,,,"
$41,503 is the Estimated Wedding Cost
","$2,595",$747,$207,$330,"$2,402","$9,824","$2,514","$3,820",$602
